Feature,Coefficient,Absolute Coefficient
priors_count,0.8553548245739045,0.8553548245739045
age,-0.5011678968265295,0.5011678968265295
c_charge_degree:F,0.22008971908872466,0.22008971908872466
juv_other_count,0.12901610179132214,0.12901610179132214
c_jail_time,0.1191941467353017,0.1191941467353017
days_b_screening_arrest,0.11475419704209332,0.11475419704209332
juv_fel_count,0.044449501841777914,0.044449501841777914
juv_misd_count,-0.03033203729786483,0.03033203729786483
